video_id,duration
hzGrwaFztrE,120
mbTwGJhqrv4,180
yH8YspHM27s,18.54
f2uHnfI54fU,25.58
Z2L42G7tAHo,76.34
DM8T7zqNsNE,93.35
4DiHq_myrx4,24.03
2kSjgiV4wG8,12.15
PRxpsclx650,149.27
TWfz3zfHNCk,138.14
aDshY43Ol2U,2.02
7STPc_5Ae4U,118.04
pOLlaRDyII4,128.58
a09KyiHNKYY,127.28
wlpunOUxYSo,2.34
_Zl5EzrpZ9E,172.56
ZKbydYg8R-E,153.58
BMrYdkV37g0,166.46
UHmWO5_wmoA,2.41
1wn9l91LVpI,169.58
EsxsAZT85s4,170.56
AKKRhPJdsqY,159.21
X13iHHZhhCU,136.09
QzBig8uEm5E,163.06
gddcUtzsKgg,127.09
4C_Mv44Jv78,13.49
cZKP0R0w7_4,152.46
sUlelAYZGRE,150.21
xTlWHMoGqhA,120
easyichzP5M,147
0G1eGvBVSJc,120
U8J6SjDCmZY,125.4
eu3QDY5z0d0,155.59
PUpCChxkZbY,125
MWG1As2Nm-g,137.09
qRrRhvLxbXw,135.14
u0C-Hywcy7Q,78.5
5k1KjQBqurQ,14.01
Us3z3TIxTOI,150.49
BONMwGL-kVg,147
PHT3J3BKpew,145.09
hbrXd8T3fE0,161.18
M7z6F4Lcthc,142.23
8kMM90hh-O8,144
mmVRIR_eJc4,135.46
xH33uI-cqa8,142.51
MukIXLmFEWU,133.11
0JsWh-WN1DY,148.19
rf3iHqE240I,5.06
qDWJllytQwM,142.31
hDPZvTcKyzw,152.16
RByoMwxHxxo,140.22
tj814hcan3c,131.15
rWtRFEEbdhk,136.54
cK_scrPFOt4,123.19
zcNWeWxgw5M,12.32
wJY-4ueo-3U,140.22
qmQP4TBvCu4,137.45
q849TUnJRO0,120
l0jVo2oGDwo,137.28
I2RZVusUbCU,149.29
-ottnI65duU,145.47
qOuNceOzNAI,152.02
8TYwRQP_8Ek,157.47
Tj_48kPwKtc,146.1
T-Bvf6s7gts,147.02
TNo1l06Jz_w,120
XR-_dafQRxc,120
77ZdDhj2iU8,149.46
-lfOObH83fk,147.55
dyOyfnzMX0E,91.37
eQPSq3kSjfg,155.53
NzDyWRRI4CQ,85.21
8CydgiuZ6No,133.36
6SX4EYJM6zU,145.56
HRNq5O2ieOs,10.2
UpJrUNJcS5w,153.38
VYslZytdOWg,20.36
juDsiLpI3QU,137.5
86gZJB0voCg,130.25
F6f4eAXQkqo,157.45
Q2YB7jfpPEM,156.34
HAg3fuFczs0,2.04
JyQJHOEK3RQ,153.47
I5dD9n2HlIg,78.59
Nk8ca_ftL7c,135.34
1CKDs0APLhQ,151.11
tGgLvA31RQw,129.02
5Eulut8erDQ,98.09
ubWpCEa0JkM,110.42
8b1F8p4D_uA,180
7TycGwEbJa0,106.5
jlR3T0r7exw,155.56
5_-spKPRU-I,160.01
QVWxzZA4KSo,124.04
q3WWxTbS7gc,152.14
BslcqqAOmRQ,144.22
vfNe4a67pWE,119.02
PXvggkfusi8,187.07
LfNiC9XiKTU,NA
SFejUSu3iDE,NA
ym5e-QwsXA0,NA
gSoRJXxKytc,NA
rN6VfMy-sFs,NA
Tx2OGsc06-4,NA
7bZXRWl7N6c,NA
c_AfDKrnpzE,NA
cPVg75umbLg,NA
f6a_eGFDG_Q,NA
HlaoVkWRa_A,NA
V06uqRkQEMs,NA
k27mr6p-yhY,NA
j-LYszuQV0E,NA
5csDkBlgb24,NA
8cpTkdmi2TI,NA
mBBUr2MOyTM,NA
eyMq6KuWUJQ,NA
vpAMDXRqmWY,NA
KX2eIxQmDSQ,NA
x9NTXVtCz9o,NA
mrPb4Y0eewA,NA
FPAk81X3tTY,NA
jXL4YQa7JAE,NA
eRdE_s9Gmc0,NA
HeGMAM9Dgv0,NA
hctApy_i-qg,NA
Sw_K24hbRjU,NA
d81ur0_H_zQ,NA
mr-M3-QYKyo,NA
V3iJpVqqSBA,NA
QAsfOcGjgoM,NA
8CVEIE9V_is,NA
NXTv3mBj2oA,NA
tpKSAQvCP2Y,NA
Y6tvRqVCSac,NA
QFcA3uQp5VQ,NA
LMIW7HR2LOo,NA
lyK3U2iVnCA,NA
dInwVhRtN4E,NA
TTfe2Manwmo,NA
yacDlrwsABY,NA
TNosPXV8W9o,NA
-IPanvJaZ0I,NA
MU4QL-VwDlc,NA
1j1gfHwLICo,NA
Iw_mpCvN2mM,NA
OEliPNPlB9Q,NA
rxy9NVog6Lc,NA
sqW95LOMrBU,NA
WSfOtDcL1m0,NA
VHr1hIxPrw4,NA
v5L6wjOfEOg,NA
210HdCL8fMA,NA
9nvutT-Bj3w,NA
CdU_Vm3gOO4,NA
bVISTe6rah0,NA
CLWrLZMyzhU,NA
wl7FV1LHcU4,NA
5fvTKc1i8Xo,NA
Oo2MB6n6VjY,NA
gvMHs3B0GqU,NA
AkLELrXU0yI,NA
OOQlCD5qMPY,NA
cenLUmBgLM0,NA
pnHnZB99X2k,NA
S1k2McCI-v0,NA
kn5tPL-OnMM,NA
pI417jeeUNg,NA
Yt1jQ6KcArg,NA
Yo8XZKkv5aQ,NA
v-mQ6c86_LY,NA
jbfMvlLodbM,NA
tshYDrzxTvw,NA
vohA4wEOyHo,NA
z3cuKliZ58Y,NA
FhlsfkfZO38,NA
K18X7bwYkEU,NA
cludvHBlLHs,NA
7N0Cf1GeGVs,NA
goKxKmuWKJY,NA
HZ46yR-Lo8c,NA
DxVsB5sO94E,NA
va_NXwxSoSw,NA
CzmIrPvIzxk,NA
raTQK0AaSEY,NA
swY_WR5xZdw,NA
QT1qx-5K0y8,NA
tt-ifhj7D64,NA
LTLu3icCpQk,NA
3TpYRpn_ylc,NA
OEaNSRT-OJs,NA
o4_tHTmniw4,NA
IvOSJPfxXMc,NA
gut423ANiwo,NA
CbkWMJVhYUY,NA
EKbWvGLC97Q,NA
MACaqTydZw8,NA
jty6SSQoelw,NA
ENDnqHjBalM,NA
GsU_4-WMeVE,NA
qG-c8DtOm9g,NA
7bcgRjM3mE8,NA
1TeBl6jOHtU,NA
8W6IeNooyLY,NA
s-KAJ6iMQ3U,NA
g7OH2OhIjJA,NA
SAcpESN_Fk4,NA
paXOkGMyG8M,NA
sardEJDvLsY,NA
5Ff3GgI70aU,NA
2ACktbmscxg,NA
HCF1br05oLM,NA
APJOEIxjAGg,NA
ElZVKOPmxEU,NA
0xqA9tTZEZU,NA
